cpd:C00001	H2O; Water
cpd:C06114	gamma-Glutamyl-3-aminopropiononitrile; gamma-Glutamyl-beta-aminopropiononitrile
cpd:C06118	Unsaturated digalacturonate; 4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate; 4-(4-Deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate
cpd:C06124	S1P; Sphingosine 1-phosphate; Sphing-4-enine 1-phosphate
cpd:C06125	Sulfatide; Cerebroside 3-sulfate; Galactosylceramidesulfate
cpd:C06126	Digalactosylceramide; Gal-alpha1->4Gal-beta1->1'Cer
cpd:C06127	Digalactosylceramidesulfate
cpd:C06128	GM4; Neu5Ac-alpha2->3Gal-beta1->1'Cer; N-Acetylneuraminyl-galactosylceramide
cpd:C06142	1-Butanol; n-Butanol
cpd:C06143	Poly-beta-hydroxybutyrate
cpd:C06144	3-Butynoate; But-3-ynoate
cpd:C06145	3-Butyn-1-al
cpd:C06146	3-Butyn-1-ol
cpd:C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
cpd:C06149	6-(3'-Triphosphoryl-1'-methylglyceryl)-7-methyl-7,8-dihydrobiopterin
cpd:C06153	Scyllitol; scyllo-Inositol
cpd:C06156	D-Glucosamine 1-phosphate; alpha-D-Glucosamine 1-phosphate
cpd:C06157	S-Glutaryldihydrolipoamide-E; [Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine
cpd:C06160	(S)-Norcoclaurine; 6,7-Dihydroxy-(1S)-[(4-hydroxyphenyl)methyl]-1,2,3,4-tetrahydroisoquinoline
cpd:C06161	Coclaurine; (S)-Coclaurine; 1-(p-Hydroxybenzyl)-6-methoxy-7-hydroxy-1,2,3,4-tetrahydroisoquinoline; (S)-1,2,3,4-Tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-7-isoquinolinol
cpd:C06162	Sanguinarine
cpd:C06163	(S)-cis-N-Methylstylopine
cpd:C06165	Macarpine
cpd:C06167	1,2-Dehydroreticuline; 1,2-Dehydroreticulinium; 3,4-Dihydro-7-hydroxy-1-[(3-hydroxy-4-methoxyphenyl)methyl]-6-methoxy-2-(methyl-14C)-isoquinolinium
cpd:C06171	Codeinone; (5alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-one
cpd:C06172	Neopinone
cpd:C06173	Thebaine
cpd:C06174	Codeine; (5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol
cpd:C06175	Oripavine
cpd:C06176	Senecionine
cpd:C06177	Retronecine
cpd:C06178	1-Methylpyrrolinium; 1-Methyl-delta(1)-pyrrolinium
cpd:C06179	Hygrine; (+)-Hygrine
cpd:C06180	Anabasine
cpd:C06181	Piperideine; 1-Piperideine
cpd:C06182	Pelletierine
cpd:C06183	Anapheline; L-(+)-Anaferine
cpd:C06184	N-Methylpelletierine
cpd:C06185	Slaframine; (-)-Slaframine
cpd:C06186	Ursin; Uvasol; Arbutin; Hydroquinone-O-beta-D-glucopyranoside
cpd:C06187	Arbutin-6P; Arbutin 6-phosphate
cpd:C06188	Salicin-6P; Salicin 6-phosphate
cpd:C06192	ADP-mannose; APD-D-mannose
cpd:C06193	Gp; 3'-GMP; Guo-3'-P; 3'-Guanylic acid; Guanosine 3'-phosphate
cpd:C06194	2',3'-Cyclic GMP
cpd:C06195	Imidazolone; 4-Imidazolone; Imidazol-4-one
cpd:C06196	dIMP; 2'-Deoxyinosine 5'-phosphate
cpd:C06197	ApppA; P1,P3-Bis(5'-adenosyl) triphosphate; Adenosine 5'-triphosphate 5'-adenosine
cpd:C06198	UppppU; P1,P4-Bis(5'-uridyl) tetraphosphate
cpd:C06199	Hordenine; 4-[2-(Dimethylamino)ethyl]phenol
cpd:C06201	2,4-Dihydroxyhept-2-enedioate; 2,4-Dihydroxyhept-2-1,7-dioate; 2,4-Dihydroxyhept-2-enedioic acid
cpd:C06202	Salicylaldehyde; o-Hydroxybenzaldehyde; 2-Hydroxybenzaldehyde
cpd:C06203	trans-o-Hydroxybenzylidenepyruvate; (3E)-4-(2-Hydroxyphenyl)-2-oxobut-3-enoate
cpd:C06204	2-Hydroxychromene-2-carboxylate; 2-Hydroxy-2H-chromene-2-carboxylate
cpd:C06205	1,2-Dihydronaphthalene-1,2-diol
cpd:C06206	Benzoyl phosphate
cpd:C06207	2,6-Dihydroxyphenylacetate
cpd:C06210	2-Hydroxy-6-oxo-hept-2,4-dienoate; 2-Hydroxy-6-keto-2,4-heptadienoate
cpd:C06212	N-Methylserotonin
cpd:C06213	N-Methyltryptamine; N-Methylindoleethylamine; 1-Methyl-2-(3-indolyl)ethylamine
cpd:C06215	Levan; Levan n; 2,6-beta-D-Fructan; (2,6-beta-D-Fructosyl)n; (2,6-beta-D-Fructosyl)n+1
cpd:C06216	Celloheptaose
cpd:C06217	Cellohexaose
cpd:C06218	Cellopentaose
cpd:C06219	Cellotriose
cpd:C06224	3,4-Dihydroxystyrene
cpd:C06227	Fe(III)hydroxamate; Fe(III)hydroxamic acid
cpd:C06228	Ferrichrome
cpd:C06229	Fe(III)dicitrate; Iron(III)dicitrate
cpd:C06230	Fe-enterochlin; Fe-enterobactin
cpd:C06231	Ectoine; L-Ectoine
cpd:C06232	Molybdate
cpd:C06234	4-Methyl-L-glutamate
cpd:C06240	UDP-N-acetyl-D-mannosaminouronate; UDP-N-acetyl-D-mannosaminuronic acid; UDP-N-acetyl-alpha-D-mannosaminuronate; UDP-N-acetyl-2-amino-2-deoxy-D-mannuronate
cpd:C06241	N-Acetylneuraminate 9-phosphate
cpd:C06250	Holo-[carboxylase]; Biotin-carboxyl-carrier protein
cpd:C06251	Lauroyl-KDO2-lipid IV(A)
cpd:C06254	Lysophospholipid
cpd:C06304	(+)-Comphene; (+)-Camphene
cpd:C06307	(-)-beta-Pinene; (1S,5S)-6,6-Dimethyl-2-methylenebicyclo[3.1.1]heptane
cpd:C06308	(-)-alpha-Pinene; (1S,5S)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene
cpd:C06309	22-Hopanol; Diplopterol; Hopan-22-ol
cpd:C06310	Diploptene; 22(29)-Hopene; Hop-22(29)-ene
cpd:C06311	Galactitol 1-phosphate; L-Galactitol 1-phosphate; D-Galactitol 6-phosphate
cpd:C06314	LXA4; Lipoxin A4; 5S,6R,15S-Trihydroxy-7E,9E,11Z,13E-eicosatetraenoic acid; (7E,9E,11Z,13E)-(5S,6R,15S)-5,6,15-Trihydroxyicosa-7,9,11,13-tetraenoic acid
cpd:C06315	LXB4; Lipoxin B4; 5S,14R,15S-Trihydroxy-6E,8Z,10E,12E-eicosatetraenoic acid; (6E,8Z,10E,12E)-(5S,14R,15S)-Trihydroxyicosa-6,8,10,12-tetraenoic acid
cpd:C06317	Vanillyl alcohol; 4-Hydroxy-3-methoxybenzyl alcohol; 4-Hydroxy-3-methoxybenzenemethanol; 4-Hydroxy-3-methoxy-benzenemethanol
cpd:C06318	Terephthalate-1,2-cis-dihydrodiol; (1R,6S)-Dihydroxycyclohexa-2,4-diene-1,4-dicarboxylate; cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,4-dicarboxylate; (3S,4R)-3,4-Dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate
cpd:C06319	Precorrin 6Y; Precorrin 6B
cpd:C06320	Precorrin 6X; Precorrin 6A
cpd:C06321	cis-1,2-Dihydroxycyclohexa-3,5-diene-1-carboxylate; (1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate; cis-1,6-Dihydroxy-2,4-cyclohexadiene-1-carboxylic acid
cpd:C06322	Cyclohexa-1,5-dienecarbonyl-CoA; Cyclohexa-1,5-diene-1-carbonyl-CoA; S-1,5-Cyclohexadiene-1-carboxylate coenzymeA
cpd:C06327	Chelirubine
cpd:C06328	6-Chlorohydroxyquinol; 6-Chlorobenzene-1,2,4-triol
cpd:C06329	2-Chloromaleylacetate
cpd:C06332	N-Acetylanthranilate; N-Acetylanthranilic acid; 2-(Acetylamino)-benzoic acid
cpd:C06333	Orthanilic acid; 2-Aminobenzenesulfonate; 2-Aminobenzenesulfonic acid; o-Aminobenzenesulfonic acid
cpd:C06335	Sulfanilic acid; 4-Aminobenzenesulfonate; 4-Aminobenzenesulfonic acid; p-Aminobenzenesulfonic acid
cpd:C06336	3-Sulfocatechol; 2,3-Dihydroxybenzenesulfonate
cpd:C06337	Terephthalate; Terephthalic acid; 1,4-Benzenedicarboxylic acid
cpd:C06341	7alpha,27-Dihydroxycholesterol; Cholest-5-ene-3beta,7alpha,26-triol; Cholest-5-ene-3beta,7alpha,27-triol
cpd:C06366	Homospermidine; sym-Homospermidine
cpd:C06367	Carboxyphosphonoenolpyruvate; 1-Carboxyvinyl carboxyphosphonate
cpd:C06368	(Hydroxyphosphinyl)pyruvate; 3-(Hydrohydroxyphosphoryl)pyruvate
cpd:C06376	N-Acetyl-D-galactosamine 6-phosphate
cpd:C06377	D-Galactosamine 6-phosphate
cpd:C06387	4-Chlorobenzoyl-CoA
cpd:C06394	delta-Cadinene; (+)-delta-Cadinene
cpd:C06397	ADP-D-glycero-beta-D-manno-heptose
cpd:C06398	ADP-L-glycero-beta-D-manno-heptose
cpd:C06399	Hydrogenobyrinate; Hydrogenobyrinic acid
cpd:C06406	Precorrin 3B
cpd:C06407	Precorrin 4
cpd:C06408	Precorrin 8; Precorrin 8X; Precorrin-8X
cpd:C06416	Precorrin 5
cpd:C06423	Octylic acid; Octanoic acid; Caprylic acid
cpd:C06424	Myristic acid; Tetradecanoate; Tetradecanoic acid
cpd:C06425	Icosanoic acid; Arachidic acid; Eicosanoic acid
cpd:C06426	Gamolenic acid; gamma-Linolenic acid; 6,9,12-Octadecatrienoic acid; (6Z,9Z,12Z)-Octadecatrienoic acid
cpd:C06427	Linolenate; alpha-Linolenate; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; (9Z,12Z,15Z)-Octadecatrienoic acid
cpd:C06428	Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate; (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid
cpd:C06429	Docosahexaenoic acid; 4,7,10,13,16,19-Docosahexaenoic acid; (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid
cpd:C06433	5'-Benzoylphosphoadenosine
cpd:C06435	5'-Butyrylphosphoinosine; Inosine 5'-phosphobutyrate
cpd:C06441	L-Xylulose 1-phosphate
cpd:C06442	N(gamma)-Acetyldiaminobutyrate; N4-Acetyl-L-2,4-diaminobutyrate; N4-Acetyl-L-2,4-diaminobutanoate
cpd:C06451	2-Hydroxyethylphosphonate; (2-Hydroxyethyl)-phosphonic acid
cpd:C06452	(S)-2-Hydroxypropylphosphonate
cpd:C06454	Fosfomycin; Phosphonomycin; (1R,2S)-Epoxypropylphosphonate
cpd:C06455	Hydroxymethylphosphonate; P-(Hydroxymethyl)-phosphonic acid
cpd:C06456	Foscarmet; Foscarnet; Phosphonoformate
cpd:C06457	Bialaphos; Bilanafos; Phosphinothricin tripeptide; 2-Amino-4-(methylphosphino)butyrylalanylalanine; gamma-(Hydroxymethylphosphinyl)-L-alpha-aminobutyryl-L-alanyl-L-alanine
cpd:C06459	2-Trimethylaminoethylphosphonate; N-Trimethyl-2-aminoethylphosphonate
cpd:C06462	LTF4; Leukotriene F4
cpd:C06473	2-Dehydro-D-gluconate; 2-Keto-D-gluconic acid; 2-Dehydro-D-gluconic acid; alpha-D-arabino-2-Hexulosonic acid
cpd:C06481	L-Seryl-tRNA(Sec)
cpd:C06482	L-Selenocysteinyl-tRNA(Sec)
cpd:C06503	Hydrogenobyrinate diamide; Hydrogenobyrinate a,c diamide; Hydrogenobyrinic acid a,c-diamide
cpd:C06504	Cob(II)yrinate diamide; Cobyrinate a,c-diamide; Cob(II)yrinate a,c diamide; Cobyrinic acid a,c-diamide; Cob(II)yrinic acid a,c-diamide
cpd:C06505	Cob(I)yrinate diamide; Cob(I)yrinate a,c diamide; Cob(I)yrinic acid a,c-diamide
cpd:C06506	Adenosyl cobyrinate diamide; Adenosyl cobyrinate a,c diamide; Adenosylcobyrinic acid a,c-diamide; Adenosylcob(III)yrinic acid a,c-diamide
cpd:C06507	Adenosylcobyric acid; Adenosyl cobyrinate hexaamide
cpd:C06508	Adenosylcobinamide; Adenosyl cobinamide
cpd:C06509	Adenosylcobinamide phosphate; Adenosyl cobinamide phosphate
cpd:C06510	Adenosylcobinamide-GDP; Adenosine-GDP-cobinamide
cpd:C06511	Guattegaumerine; N,N'-Dimethyllindoldhamine
cpd:C06512	2'-Norberbamunine
cpd:C06516	N-Norreticuline; (R)-Norreticuline
cpd:C06517	(S)-3'-Hydroxycoclaurine; (S)-6-O-Methylnorlaudanosoline
cpd:C06518	(S)-Nororientaline
cpd:C06520	(S)-Norreticuline
cpd:C06521	Cuskhygrine; Cuscohygrine
cpd:C06522	Strychnine
cpd:C06523	Coniine; Cicutin; (+)-Coniine
cpd:C06524	Nornicotine
cpd:C06525	Gentianine
cpd:C06526	Quinine; (-)-Quinine
cpd:C06527	Quinidine; (+)-Quinidine
cpd:C06528	Cinchonine; (9S)-Cinchonan-9-ol
cpd:C06530	Cupreine
cpd:C06533	Papaverine
cpd:C06535	Eserine; Physostigmine
cpd:C06536	Harmaline
cpd:C06538	Harmine
cpd:C06542	Ajmaline
cpd:C06543	Solanidine
cpd:C06546	Mescaline
cpd:C06547	Ethylene
cpd:C06548	Ethylene oxide
cpd:C06551	Atrazine
cpd:C06552	Hydroxyatrazine; 4-(Ethylamino)-2-hydroxy-6-(isopropylamino)-1,3,5-triazine
cpd:C06553	N-Isopropylammelide
cpd:C06554	Cyanuric acid
cpd:C06555	Biuret
cpd:C06556	Deisopropylatrazine
cpd:C06557	Deisopropylhydroxyatrazine
cpd:C06558	N-Ethylammelide; 2,4-Dihydroxy-6-(N'-ethyl)amino-1,3,5-triazine
cpd:C06559	Deethylatrazine
cpd:C06560	Deisopropyldeethylatrazine
cpd:C06561	Isosalipurpol; Chalconaringenin; Naringenin chalcone; 2',4,4',6'-Tetrahydroxychalcone
cpd:C06562	D-Catechin; Cyanidanol; Cianidanol; (+)-Catechin; (2R,3S)-Catechin; (2R,3S)-(+)-Catechin; (2R-trans)-2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol
cpd:C06563	Genistein; 5,7,4'-Trihydroxyisoflavone
cpd:C06564	Adicillin; Penicillin N
cpd:C06565	DAOC; Deacetoxycephalosporin C
cpd:C06566	Cephamycin C
cpd:C06567	Penicilloic acid
cpd:C06568	O-Carbamoyl-deacetylcephalosporin C
cpd:C06569	7a-Hydroxy-O-carbamoyl-deacetylcephalosporin C
cpd:C06570	Tetracycline
cpd:C06571	Aureomycin; Chlortetracycline; 7-Chlorotetracycline
cpd:C06573	Amphotericin B
cpd:C06575	p-Cymene
cpd:C06576	p-Cumic alcohol
cpd:C06577	Cuminaldehyde; p-Cumic aldehyde; 4-Isopropylbenzaldehyde
cpd:C06578	p-Cumate
cpd:C06579	cis-2,3-Dihydroxy-2,3-dihydro-p-cumate; cis-5,6-Dihydroxy-4-isopropylcyclohexa-1,3-dienecarboxylate
cpd:C06580	2,3-Dihydroxy-p-cumate
cpd:C06581	2-Hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate
cpd:C06582	2-Hydroxy-6-oxo-7-methylocta-2,4-dienoate
cpd:C06584	4-Chlorobiphenyl; 4-Monochloro-biphenyl; 1-Chloro-4-phenyl benzene
cpd:C06585	cis-2,3-Dihydro-2,3-dihydroxy-4'-chlorobiphenyl
cpd:C06586	2,3-Dihydroxy-4'-chlorobiphenyl
cpd:C06587	2-Hydroxy-6-oxo-6-(4'-chlorophenyl)-hexa-2,4-dienoate
cpd:C06588	Biphenyl; Phenylbenzene; 1,1'-Biphenyl; 1,1'-Diphenyl
cpd:C06589	cis-2,3-Dihydro-2,3-dihydroxybiphenyl; cis-3-Phenylcyclohexa-3,5-diene-1,2-diol; (1S,2R)-3-Phenylcyclohexa-3,5-diene-1,2-diol
cpd:C06592	NDP-N-methyl-L-glucosamine
cpd:C06593	epsilon-Caprolactam
cpd:C06594	Trichlorobenzene A; 1,2,4-Trichlorobenzene
cpd:C06596	gamma-Pentachlorocyclohexene
cpd:C06597	1,3,4,6-Tetrachloro-1,4-cyclohexadiene
cpd:C06598	2,4,5-Trichloro-2,5-cyclohexadiene-1-ol; 1-Hydroxyl-2,4,5-trichloro-2,5-cyclohexadiene
cpd:C06599	2,5-Dichloro-2,5-cyclohexadiene-1,4-diol; 1,4-Dihydroxyl-2,5-dichloro-2,5-cyclohexadiene
cpd:C06600	2,5-Dichlorohydroquinone; 2,5-Dichloro-1,4-benzenediol
cpd:C06601	Chloroquinol; Chlorohydroquinone; 1,4-Dihydroxyl-2-chlorobenzene
cpd:C06602	2,5-DCP; 2,5-Dichlorophenol
cpd:C06603	4-Hydroxymuconic semialdehyde; cis,cis-4-Hydroxymuconic semialdehyde
cpd:C06604	DNTP; Thiophos; Parathion; O,O-Diethyl O-p-nitrophenyl phosphorothioate
cpd:C06605	Aminoparathion
cpd:C06606	Paraoxon; O,O-Diethyl-O-p-nitrophenylphosphoric acid
cpd:C06607	DETP; Diethylthiophosphoric acid
cpd:C06608	Diethylphosphoric acid; O,O-Diethylphosphoric acid
cpd:C06609	trans-1,3-Dichloropropene; trans-3-Chloroallyl chloride
cpd:C06610	cis-1,3-Dichloropropene
cpd:C06611	trans-3-Chloroallyl alcohol; trans-3-Chloro-2-propene-1-ol
cpd:C06612	cis-3-Chloroallyl alcohol; cis-3-Chloro-2-propene-1-ol
cpd:C06613	trans-3-Chloro-2-propenal; trans-3-Chloroallyl aldehyde
cpd:C06614	trans-3-Chloroacrylic acid
cpd:C06615	cis-3-Chloroacrylic acid
cpd:C06616	Erythromycin C
cpd:C06624	Oxytetracycline; Oxytetracycline anhydrous
cpd:C06625	Malonamoyl-CoA
cpd:C06626	4-Oxoanhydrochlortetracycline; 4-Ketoanhydrochlortetracycline; 4-Ketoanhydro-7-chlorotetracycline; 4-Dedimethylamine-4-oxo-anhydro-7-Cl-tetracycline
cpd:C06627	4-Keto-ATC; 4-Ketoanhydrotetracycline; 4-Keto-anhydrotetracycline; 4-Dedimethylamino-4-oxo-anhydrotetracycline
cpd:C06628	4-Hydroxy-6-methylpretetramide
cpd:C06629	6-Methylpretetramide
cpd:C06630	3-O-alpha-Mycarosylerythronolide B; 3-alpha-L-Mycarosylerythronolide B; 4-(4,5-Dihydroxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-14-ethyl-6,7,12-trihydroxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione
cpd:C06633	Erythromycin D
cpd:C06634	Erythromycin E
cpd:C06635	Erythronolide B
cpd:C06636	TDE; DDD; Dichlorodiphenyldichloroethane; 1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethane
cpd:C06637	DDMU; 1-Chloro-2,2-bis(4'-chlorophenyl)ethylene
cpd:C06638	DDMS; 1-Chloro-2,2-bis(4'-chlorophenyl)ethane
cpd:C06639	DDOH; 2,2-Bis(4'-chlorophenyl)ethanol
cpd:C06640	DDA; Bis(4'-chlorophenyl)acetate
cpd:C06641	DDM; Bis(4'-chlorophenyl)methane
cpd:C06642	DDNU; unsym-Bis(4'-chlorophenyl)ethylene
cpd:C06643	DBP; 4,4'-Dichlorobenzophenone
cpd:C06644	1,1-Dichloro-2-(dihydroxy-4'-chlorophenyl)-2-(4'-chlorophenyl)ethylene
cpd:C06645	6-Oxo-2-hydroxy-7-(4'-chlorophenyl)-3,8,8-trichloroocta-2E,4E,7E-trienoate
cpd:C06646	2-(4'-Chlorophenyl)-3,3-dichloropropenoate
cpd:C06647	4-Chloroacetophenone; p-Chloroacetophenone
cpd:C06648	4-Chlorobenzaldehyde
cpd:C06649	cis-2,3-Dihydrodiol DDT; cis-2,3-Dihydrodiol 1,1,1-Trichloro-2,2-bis(4'-chlorophenyl)ethane
cpd:C06650	2,3-Dihydroxy DDT; 2,3-Dihydroxy 1,1,1-Trichloro-2,2-bis(4'-chlorophenyl)ethane
cpd:C06651	6-Oxo-2-hydroxy-7-(4'-chlorophenyl)-3,8,8,8-tetrachloroocta-2E,4E-dienoate
cpd:C06653	Berythromycin; Erythromycin B
cpd:C06654	4-Amino-ATC; 4-Amino-anhydrotetracycline; 4-Dedimethyl-6-dehydro-anhydrotetracycline
cpd:C06655	L-N2-(2-Carboxyethyl)arginine; N2-(2-Carboxyethyl)-L-arginine
cpd:C06656	Deoxyamidinoproclavaminate; Deoxyguanidinoproclavaminate; Deoxyguanidinoproclavaminic acid
cpd:C06657	Amidinoproclavaminate; Guanidinoproclavaminate; Guanidinoproclavaminic acid
cpd:C06658	Proclavaminate; Proclavaminic acid
cpd:C06659	Dihydroclavaminate; Dihydroclavaminic acid
cpd:C06660	Clavaminate; Clavaminic acid
cpd:C06661	Clavulanate-9-aldehyde
cpd:C06662	Clavulanate; Clavulanic acid
cpd:C06670	2,4-Dichlorobenzoate; 2,4-Dichlorobenzoic acid
cpd:C06671	2,4-Dichlorobenzoyl-CoA
cpd:C06672	Vanillate; Vanillic acid; 4-Hydroxy-3-methoxybenzoate; 4-Hydroxy-3-methoxybenzoic acid
cpd:C06673	4-Carboxy-4'-sulfoazobenzene
cpd:C06674	4-Sulfocatechol
cpd:C06675	3-Sulfomuconate
cpd:C06676	4-Sulfolactone; 4-Sulfomuconolactone; 4-Carboxymethyl-4-sulfobut-2-en-4-olide
cpd:C06677	Tosylate; Toluene-4-sulfonate
cpd:C06678	4-Sulfobenzyl alcohol; 4-(Hydroxymethyl)benzenesulfonate
cpd:C06679	4-Sulfobenzaldehyde; 4-Formylbenzenesulfonate
cpd:C06680	4-Hydroxyphthalate
cpd:C06687	Norfloxacin
cpd:C06688	Rifampin; Rifampicin
cpd:C06689	Vancomycin
cpd:C06690	FR-008-III; Candicidin D
cpd:C06691	Actinorhodin; Actinorhodine
cpd:C06696	Pb; Lead; Pb2+
cpd:C06704	Iron chelate
cpd:C06705	Capsular polysaccharide
cpd:C06706	Lipo-oligosaccharide
cpd:C06707	Teichoic acid
cpd:C06711	9-Fluorenol; Fluoren-9-ol; 9-Hydroxyfluorene; Diphenylene carbinol
cpd:C06712	9-Fluorenone; Fluoren-9-one
cpd:C06714	3-Hydroxypimelyl-CoA; 3-Hydroxypimeloyl-CoA
cpd:C06715	3-Oxopimeloyl-CoA; 3-Ketopimelyl-CoA
cpd:C06719	Dihydrophloroglucinol
cpd:C06720	1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate; 1,2-Dihydroxy-3-methylcyclohexa-3,5-dienecarboxylate
cpd:C06723	6-Carboxyhex-2-enoyl-CoA; 2,3-Didehydro-pimeloyl-CoA
cpd:C06727	cis-1,2-Dihydro-3-ethylcatechol; cis-3-Ethyl-cyclohexa-3,5-diene-1,2-diol; cis-2,3-Dihydroxy-2,3-dihydroethylbenzene
cpd:C06728	3-Ethylcatechol; 3-Ethyl-benzene-1,2-diol; 2,3-Dihydroxyethylbenzene
cpd:C06729	4-Methylcyclohexa-3,5-diene-1,2-cis-diol-1-carboxylic acid; cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate
cpd:C06730	4-Methylcatechol; 3,4-Dihydroxytoluene; 4-Methyl-1,2-benzenediol; 1,2-Dihydroxy-4-methylbenzene
cpd:C06731	1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate
cpd:C06735	Aminoacetaldehyde; 2-Aminoacetaldehyde
cpd:C06749	6-Hydroxycyclohex-1-enecarbonyl-CoA; 6-Hydroxycyclohex-1-ene-1-carbonyl-CoA; 6-Hydroxycyclohex-1-ene-1-carboxyl-CoA
cpd:C06752	Dutch liquid; Glycol dichloride; 1,2-Dichloroethane; Ethylene dichloride
cpd:C06753	2-Chloroethanol; Glycol chlorohydrin; Ethylene chlorohydrin
cpd:C06754	2-Chloroethanal; Chloroacetaldehyde
cpd:C06755	Chloroacetic acid; Chloroethanoic acid
cpd:C06756	p-Xylene; p-Methyltoluene; 1,4-Dimethylbenzene
cpd:C06757	4-Tolylcarbinol; 4-Methylbenzyl alcohol; alpha-Hydroxy-p-xylene
cpd:C06758	p-Tolualdehyde; p-Formyltoluene; 4-Toluylaldehyde; p-Methylbenzaldehyde; 4-Methylbenzaldehyde
cpd:C06760	2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde; (2E,4Z)-2-Hydroxy-5-methyl-6-oxohexa-2,4-dienoate
cpd:C06762	4-Hydroxy-2-oxohexanoate; 4-Hydroxy-2-oxohexanoic acid
cpd:C06767	Hemin; Hemine
cpd:C06769	Vibriobactin
cpd:C06771	Trolamine; Triethanolamine
cpd:C06772	Diethanolamine
cpd:C06789	PCE; Tetrachloroethene; Perchloroethylene
cpd:C06790	TCE; Trichloroethene; Trichloroethylene
cpd:C06791	trans-1,2-Dichloroethene; trans-Acetylene dichloride
cpd:C06792	cis-1,2-Dichloroethene; cis-Acetylene dichloride
cpd:C06793	Vinyl chloride; Chloroethylene
cpd:C06799	Granaticin
cpd:C06800	Aflatoxin B1
cpd:C06801	Tetracenomycin C
cpd:C06804	Paracetamol; Acetaminophen
cpd:C06810	Acyclovir; Aciclovir
cpd:C06813	Nitrobenzol; Nitrobenzene
cpd:C06837	Azathioprine
cpd:C06855	Bretylium
cpd:C06865	Calcitonin; Cibacalcin
cpd:C06866	Capsaicin
cpd:C06868	Carbamazepine
cpd:C06876	Nitrosobenzene
cpd:C06880	Cefazolin
cpd:C06890	Ceftizoxime
cpd:C06892	DKH; 5-Dehydro-2-deoxy-D-gluconate; 2-Deoxy-5-keto-D-gluconic acid; 2-Deoxy-D-threo-hex-5-ulosonic acid
cpd:C06893	DKHP; 6-Phospho-5-dehydro-2-deoxy-D-gluconate; 2-Deoxy-5-keto-D-gluconic acid 6-phosphate
cpd:C06899	Chloral hydrate
cpd:C06956	Digoxin
cpd:C06986	Spirodilactone
cpd:C06988	beta-BHC; beta-Lindane; beta-Hexachlorocyclohexane; beta-1,2,3,4,5,6-Hexachlorocyclohexane
cpd:C06989	3,4,5,6-Tetrachlorocyclohexene; delta-3,4,5,6-Tetrachlorocyclohexene
cpd:C06990	Chlorobenzene; Phenyl chloride; Benzene chloride; Monochlorobenzene
cpd:C06999	Fexofenadine; 4-(1-Hydroxy-4-(4-(hydroxydiphenylmethyl)-1-piperidinyl)butyl)-alpha,alpha-dimethylbenzeneacetic acid
cpd:C07014	Fluvastatin
cpd:C07024	3'-Keto-3'-deoxy-ATP
cpd:C07025	3'-Keto-3'-deoxy-AMP
cpd:C07026	3'-Amino-3'-deoxy-AMP
cpd:C07027	N6,N6,O-Tridemethylpuromycin-5'-phosphate
cpd:C07028	N-Acetyl-N6,N6,O-tridemethylpuromycin-5'-phosphate
cpd:C07029	N-Acetyl-N6,O-didemethylpuromycin-5'-phosphate
cpd:C07030	N-Acetyl-O-demethylpuromycin-5'-phosphate
cpd:C07031	N-Acetyl-O-demethylpuromycin
cpd:C07032	N-Acetylpuromycin
cpd:C07047	Ifosfamide; Isophosphamide
cpd:C07051	Indinavir
cpd:C07054	Isoniazid
cpd:C07056	Isoprenaline; Isoproterenol
cpd:C07065	3TC; Lamivudine; 2',3'-Dideoxy-3'-thiacytidine
cpd:C07073	Lidocaine
